product_name;url;product_type;total_weight_g;purity_per_mille;fine_gold_g;price_bgn;price_eur;price_per_g_fine_bgn;price_per_g_fine_eur;buy_price_bgn;sell_price_bgn;spread_percentage;tavex_buy_price_bgn;tavex_sell_price_bgn;tavex_spread_percentage;is_cheaper;tavex_product_name
5 гр. Златно Кюлче Звездата на Давид Швейцария 2025;https://igold.bg/zlatno-kyulche-5-g-pamp-zvezdata-na-david-2025;bar;5.0;999.9;5.0;1513.0;773.58;302.6;154.72;1434.0;1513.0;5.22;;;;;
6.45 гр. Златна Монета 20 Френски Франка Луи Филип I 1830-1831;https://igold.bg/20-zlatni-franka-lui-filip-i;coin;6.45;900.0;5.81;1784.0;912.14;307.06;156.99;1499.0;1784.0;15.98;;;;;
3.22 гр. Златна Монета 10 Швейцарски Франка Вренели 1911- 1922;https://igold.bg/zlatna-moneta-3-22-g-10-franka-vreneli;coin;3.225;900.0;2.9;903.0;461.7;311.38;159.21;729.0;903.0;19.27;;;;;
5 гр. Златно Кюлче Pamp Швейцария Лунар Змия 2013;https://igold.bg/zlatno-kyulche-5-g-lunar-zmiya-2013;bar;5.0;999.9;5.0;1557.0;796.08;311.4;159.22;1301.0;1557.0;16.44;;;;;
7.99 гр. Златна Монета Британски Суверен Виктория Млад Образ с щит 1838-1887;https://igold.bg/zlatna-moneta-suveren-viktoria-s-shtit;coin;7.99;916.7;7.32;2280.0;1165.75;311.48;159.26;1790.0;2280.0;21.49;;;;;
3.22 гр. Златна Монета 10 Френски Франка Мариана 1899- 1914;https://igold.bg/10-zlatni-franka-mariana;coin;3.225;900.0;2.9;907.0;463.74;312.76;159.91;761.0;907.0;16.1;;;;;
32.26 гр. Златна Монета 100 Италиански Лири Карло Алберто Сардиния 1832- 1842;https://igold.bg/100-zlatni-liri-karlo-alberto;coin;32.258;900.0;29.03;9171.0;4689.06;315.91;161.52;7294.0;9171.0;20.47;;;;;
3.22 гр. Златна Монета 10 Френски Франка Серес 1895- 1899;https://igold.bg/10-zlatni-franka-seres;coin;3.225;900.0;2.9;935.0;478.06;322.41;164.85;774.0;935.0;17.22;;;;;
1.55 гр. ( 1/20 toz. ) Златна Монета Австралийски Лунар Кон 2026;https://igold.bg/zlatna-moneta-1-20-oz-lunar-kon-2026;coin;1.55;999.9;1.55;503.0;257.18;324.52;165.92;414.0;503.0;17.69;;;;;
3.11 гр. ( 1/10 toz. ) Златна Монета Коронационен Чарлз III 2023;https://igold.bg/zlatna-moneta-1-10-oz-charlz-iii-koronatzionen;coin;3.11;999.9;3.11;1010.0;516.4;324.76;166.05;837.0;1010.0;17.13;;;;;
5 гр. Златно Кюлче Pamp Швейцария Камбаната на Свободата;https://igold.bg/zlatno-kyulche-5-g-pamp-kambana-na-svobodata;bar;5.0;999.9;5.0;1624.0;830.34;324.8;166.07;1479.0;1624.0;8.93;;;;;
1 гр. Златно Кюлче Argor- Heraeus Швейцария Лунар Змия 2025;https://igold.bg/zlatno-kyulche-1-g-argor-heraeus-zmiya-2025;bar;1.0;999.9;1.0;325.0;166.17;325.0;166.17;267.0;325.0;17.85;;;;;
0.5 гр. Златно Кюлче Valcambi Швейцария;https://igold.bg/zlatno-kyulche-0-5-g-valcambi;bar;0.5;999.9;0.5;167.0;85.39;334.0;170.78;139.0;167.0;16.77;;;;;
32.26 гр. Златна Монета 100 Испански Песети Алфонсо XIII 1897;https://igold.bg/100-zlatni-peseti-alfonso-xiii-1897;coin;32.258;900.0;29.03;9752.0;4986.12;335.93;171.76;7940.0;9752.0;18.58;;;;;
6.45 гр. Златна Монета 20 Песети Испания Алфонсо XIII 1887- 1890;https://igold.bg/20-zlatni-peseti-alfonso-xiii-1887-1890;coin;6.45;900.0;5.81;2003.0;1024.12;344.75;176.27;1576.0;2003.0;21.32;;;;;
2 гр. Златна Монета 1/4 Британски Суверен Чарлз III 2024- 2025;https://igold.bg/zlatna-moneta-2-g-suveren-charlz-iii-2024;coin;2.0;916.7;1.83;631.0;322.63;344.81;176.3;529.0;631.0;16.16;;;;;
1.55 гр. ( 1/20 toz. ) Златна Монета Канадски Кленов Лист;https://igold.bg/1-20-oz-zlatna-moneta-klenov-list;coin;1.55;999.9;1.55;538.0;275.08;347.1;177.47;431.0;538.0;19.89;;;;;
1.55 гр. ( 1/20 toz. ) Златна Монета Австралийски Лунар Заек 2023;https://igold.bg/1-20-oz-zlaten-lunar-zaek-2023;coin;1.55;999.9;1.55;552.0;282.23;356.13;182.08;431.0;552.0;21.92;;;;;
2 гр. Златна Монета 1/4 Британски Юбилеен Суверен Елизабет II 2022;https://igold.bg/zlatna-moneta-1-4-suveren-2022;coin;2.0;916.7;1.83;655.0;334.9;357.92;183.01;552.0;655.0;15.73;;;;;
6.45 гр. 20 Марккаа Финландия Александър II/ Николай II 1878-1913;https://igold.bg/zlatna-moneta-20-markkaa-finlandia-1878-1913;coin;6.45;900.0;5.81;2133.0;1090.59;367.13;187.71;1809.0;2133.0;15.19;;;;;
1 гр. Златно Кюлче Argor- Heraeus Швейцария Лунар Заек 2023;https://igold.bg/1-g-zlatno-kyulche-zaek-2023-heraeus;bar;1.0;999.9;1.0;378.0;193.27;378.0;193.27;278.0;378.0;26.46;;;;;
8.45 гр. Златна Монета Френски Лунар Змия 2013;https://igold.bg/1-4-oz-frenski-lunar-zmiya-2013;coin;8.45;920.0;7.78;2942.0;1504.22;378.15;193.34;2249.0;2942.0;23.56;;;;;
17.28 гр. Златна Монета 500 Мексикански Песо Световна Купа 1985;https://igold.bg/zlatna-moneta-500-peso-svetovna-kupa-1985;coin;17.28;900.0;15.552;6227.0;3183.81;400.4;204.72;4841.0;6227.0;22.26;;;;;
4.48 гр. 10 Датски Крони Кристиян X 1913- 1917;https://igold.bg/10-zlatni-kroni-kristian-x;bar;4.48;900.0;4.03;1614.0;825.23;400.5;204.77;1165.0;1614.0;27.82;;;;;
0.5 гр. Златно Кюлче Pamp Фъстъчетата 75 годишнина;https://igold.bg/zlatno-kyulche-pamp-0-5-g-fastachetata;bar;0.5;999.9;0.5;206.0;105.33;412.0;210.66;156.0;206.0;24.27;;;;;
50 гр. Златно Кюлче Valcambi CombiBar Швейцария;https://igold.bg/zlatno-kyulche-50-g-combibar;bar;1.0;999.9;1.0;11904.0;6086.42;11904.0;6086.42;11707.0;11904.0;1.65;;;;;
